buyBoxPrice,monthlyRevenueEstimate,monthlyUnitsSold,amazonIsr
0.0,0.0,0,true
1.0,0.0,890586,false
1.0,0.0,0,true
1335114.875,21.0,3,true
2877.0,0.0,0,false
2877.0,0.0,0,false
0.0,2.0,1,true
0.0,3.0,1,true
2310.0,0.0,0,true
0.0,0.0,6,false
3.4000000953674316,1.0,217971,true
0.0,0.0,1,true
0.0,0.0,3118307,true
0.0,0.0,159025,false
7.0,0.0,0,false
768232.125,21.0,317,false
130429.1328125,0.0,0,true
4.300000190734863,1.0,122915,false
0.0,0.0,2908044,false
4.0,1.0,118368,false
1108.0,0.0,0,false
0.0,0.0,159792,true
4.300000190734863,1.0,110910,true
4.0,7.0,109674,false
0.0,0.0,2081366,true
0.0,0.0,54618,true
146.0,0.0,0,false
2.9000000953674316,6.0,102050,true
0.0,0.0,21,false
0.0,0.0,20415417,false
7783.0,0.0,0,false
62079.69921875,21.0,266,false
96390.359375,0.0,0,false
312.0,0.0,0,false
0.0,0.0,1150515,false
3.4000000953674316,5.0,93735,true
96213.59375,21.0,163,true
1.0,0.0,1670876,false
0.0,0.0,1480655,false
1312804.125,21.0,190,true
10.0,0.0,0,true
439164.96875,21.0,238,false
908304.4375,21.0,225,false
0.0,0.0,1819430,false
1092.0,0.0,0,false
1.0,0.0,745071,true
1.0,0.0,0,true
7902.0,0.0,0,true
0.0,0.0,122349,false
81760.2578125,0.0,0,false
0.0,0.0,0,true
4172.0,0.0,0,true
0.0,0.0,1140354,true
0.0,0.0,2,true
4.300000190734863,1.0,76130,false
0.0,0.0,0,false
1.0,0.0,864031,false
0.0,0.0,101938,true
72238.28125,0.0,0,true
4.800000190734863,1.0,71976,false
0.0,0.0,1430404,false
1118183.875,21.0,1990,true
0.0,0.0,145924,true
4.199999809265137,1.0,70095,true
4.199999809265137,1.0,68398,false
3.9000000953674316,2.0,67980,true
4.300000190734863,1.0,67406,false
4.5,6.0,66959,true
16.0,0.0,0,false
0.0,0.0,1,false
3.5999999046325684,8.0,65097,false
0.0,0.0,21,true
0.0,0.0,361192,true
101982.3984375,21.0,2186,true
225727.40625,21.0,191,true
783.0,0.0,0,false
105.0,0.0,0,false
0.0,0.0,1253598,true
0.0,0.0,1100459,false
0.0,0.0,1549990,true
0.0,0.0,555955,true
0.0,0.0,726369,true
3507.0,0.0,0,false
0.0,0.0,685830,true
0.0,0.0,858434,true
3.799999952316284,4.0,62304,false
0.0,0.0,85241,true
0.0,0.0,45823,true
3035.0,0.0,0,true
0.0,0.0,21,true
1.0,0.0,0,false
0.0,319.0,3,true
61564.3203125,0.0,0,true
1.0,0.0,421923,true
0.0,0.0,901177,true
0.0,2039.0,1,false
8.0,0.0,0,true
0.0,256.0,2,false
0.0,0.0,620558,false
1.0,0.0,0,false
0.0,276.0,1,true
0.0,0.0,2,false
208.0,0.0,0,false
60016.3515625,21.0,1620,true
59754.0,0.0,0,true
58862.5,0.0,0,true
0.0,0.0,21,true
3.5999999046325684,12.0,58461,false
3415.0,0.0,0,false
0.0,2583.0,1,false
1.0,0.0,1041452,false
3.5999999046325684,1.0,57749,false
4.099999904632568,1.0,56067,true
4.5,5.0,56049,true
16.0,0.0,0,true
4.300000190734863,1.0,55953,false
3.9000000953674316,4.0,55871,false
4.199999809265137,7.0,55813,true
0.0,2350.0,4,false
151.0,0.0,0,false
794326.0,21.0,210,true
4.199999809265137,1.0,55197,false
4.0,2.0,54998,true
