numberOfSellers,monthlyRevenueEstimate,monthlyUnitsSold,reviewRating
0,0.0,0,0.0
0,0.0,890586,2667.0
0,0.0,0,0.0
0,21.0,3,0.0
0,0.0,0,273286.21875
0,0.0,0,258901.234375
21,2.0,1,17406974.0
21,3.0,1,17186706.0
0,0.0,0,254076.90625
21,0.0,6,3358237.25
2275,1.0,217971,0.0
21,0.0,1,566335.4375
0,0.0,3118307,13.0
0,0.0,159025,6.0
0,0.0,0,25.0
0,21.0,317,0.0
0,0.0,0,1.0
257,1.0,122915,0.0
0,0.0,2908044,15.0
2413,1.0,118368,0.0
0,0.0,0,112594.9609375
0,0.0,159792,9.0
4830,1.0,110910,0.0
241,7.0,109674,0.0
0,0.0,2081366,69.0
0,0.0,54618,6.0
0,0.0,0,102198.5390625
3660,6.0,102050,0.0
0,0.0,21,0.0
0,0.0,20415417,3170.0
0,0.0,0,617.0
0,21.0,266,0.0
0,0.0,0,0.0
0,0.0,0,42.0
0,0.0,1150515,17.0
7466,5.0,93735,0.0
0,21.0,163,0.0
0,0.0,1670876,1110.0
0,0.0,1480655,63.0
0,21.0,190,0.0
0,0.0,0,16.0
0,21.0,238,0.0
0,21.0,225,0.0
0,0.0,1819430,22.0
0,0.0,0,75.0
0,0.0,745071,15.0
0,0.0,0,0.0
0,0.0,0,617.0
0,0.0,122349,5.0
0,0.0,0,1.0
21,0.0,0,41617.03125
0,0.0,0,66.0
0,0.0,1140354,98.0
21,0.0,2,2655372.25
1020,1.0,76130,0.0
0,0.0,0,0.0
0,0.0,864031,94.0
0,0.0,101938,9.0
0,0.0,0,1.0
3266,1.0,71976,0.0
0,0.0,1430404,13.0
0,21.0,1990,0.0
0,0.0,145924,9.0
17,1.0,70095,0.0
2180,1.0,68398,0.0
3687,2.0,67980,0.0
0,1.0,67406,0.0
116,6.0,66959,0.0
0,0.0,0,65719.84375
21,0.0,1,0.0
6180,8.0,65097,0.0
0,0.0,21,0.0
0,0.0,361192,28.0
0,21.0,2186,0.0
0,21.0,191,0.0
0,0.0,0,63971.1015625
0,0.0,0,42.0
0,0.0,1253598,29.0
0,0.0,1100459,94.0
0,0.0,1549990,27.0
0,0.0,555955,42.0
0,0.0,726369,15.0
0,0.0,0,351.0
0,0.0,685830,19.0
0,0.0,858434,240.0
823,4.0,62304,0.0
0,0.0,85241,6.0
0,0.0,45823,7.0
0,0.0,0,207.0
0,0.0,21,0.0
0,0.0,0,384.0
21,319.0,3,3065506.5
0,0.0,0,1.0
0,0.0,421923,244.0
0,0.0,901177,39.0
21,2039.0,1,97561.5234375
0,0.0,0,51.0
21,256.0,2,478845.90625
0,0.0,620558,14.0
0,0.0,0,1226.0
21,276.0,1,11233.9599609375
21,0.0,2,999445.8125
0,0.0,0,60317.921875
0,21.0,1620,0.0
0,0.0,0,1.0
0,0.0,0,3.0
0,0.0,21,0.0
2025,12.0,58461,0.0
0,0.0,0,233.0
21,2583.0,1,947665.625
0,0.0,1041452,2565.0
399,1.0,57749,0.0
2319,1.0,56067,0.0
119,5.0,56049,0.0
0,0.0,0,55984.0
260,1.0,55953,0.0
4508,4.0,55871,0.0
349,7.0,55813,0.0
21,2350.0,4,1101611.75
0,0.0,0,55657.08984375
0,21.0,210,0.0
0,1.0,55197,0.0
128,2.0,54998,0.0
0,0.0,0,41.0
21,408.0,1,0.0
1415,7.0,53955,0.0
0,0.0,934077,33.0
155,1.0,53714,0.0
0,0.0,0,125.0
0,0.0,143157,10.0
0,0.0,0,53295.8984375
0,0.0,1474851,107.0
0,0.0,0,130.0
0,0.0,0,308.0
0,0.0,1180478,364.0
0,0.0,0,187.0
0,0.0,0,158.0
0,0.0,1296252,16.0
0,0.0,830659,105.0
0,0.0,1515800,28.0
0,0.0,73721,6.0
0,0.0,0,77.0
0,21.0,15,0.0
0,0.0,1215689,70.0
0,21.0,4743,0.0
21,369.0,6,1040983.5625
0,21.0,127,0.0
0,0.0,752342,90.0
0,0.0,0,208.0
0,21.0,135,0.0
0,0.0,0,48987.87109375
21,624.0,1,1671398.125
0,0.0,2849,5.0
21,3112.0,7,662076.625
0,0.0,0,11.0
0,0.0,0,1932.0
0,0.0,0,112.0
0,0.0,70643,5.0
3238,10.0,47881,0.0
0,0.0,514218,17.0
0,0.0,25863,9.0
21,358.0,1,1275947.875
0,0.0,783298,85.0
0,0.0,755019,65.0
0,0.0,0,46536.8984375
0,0.0,48014,5.0
0,0.0,0,2.0
21,391.0,2,1069318.875
0,0.0,369812,699.0
117,1.0,46080,0.0
0,0.0,57813,5.0
252,1.0,45748,0.0
0,0.0,895639,37.0
0,0.0,0,27.0
0,0.0,0,35.0
2462,9.0,45361,0.0
0,0.0,21,0.0
0,21.0,3180,0.0
0,0.0,21,0.0
0,0.0,0,1.0
119,1.0,44800,0.0
21,387.0,1,111684.8828125
21,5196.0,0,978100.4375
0,0.0,0,135.0
0,0.0,0,4.0
0,0.0,0,21.0
0,0.0,986298,46.0
21,310.0,1,969920.5
0,0.0,14267,9.0
0,0.0,0,43470.0
5870,1.0,42982,0.0
0,0.0,156613,25.0
3121,1.0,42500,0.0
0,0.0,0,16.0
0,0.0,637183,14.0
0,0.0,0,141.0
0,0.0,518522,22.0
0,0.0,0,0.0
0,0.0,0,0.0
2380,6.0,41600,0.0
0,21.0,1883,0.0
0,0.0,0,41550.0
0,0.0,763746,13.0
0,0.0,336679,90.0
21,226.0,1,583867.125
21,0.0,1,4618771.5
0,0.0,49639,41.0
0,21.0,2945,0.0
0,0.0,210435,41.0
0,0.0,1421642,44.0
0,0.0,0,1.0
116,3.0,40000,0.0
