reviewCount,reviewRating,totalRatings,numberOfSellers
0,0.0,0.0,0
0,2667.0,1.0,0
0,0.0,237403.671875,0
1,0.0,9.100000381469727,0
0,273286.21875,0.0,0
0,258901.234375,0.0,0
254077,17406974.0,615855882240.0,21
254077,17186706.0,664918360064.0,21
0,254076.90625,0.0,0
225740,3358237.25,819813023744.0,21
39,0.0,0.0,2275
203258,566335.4375,0.0,21
0,13.0,4.0,0
0,6.0,1.0,0
79398,25.0,0.0,0
1,0.0,7.099999904632568,0
0,1.0,0.0,0
180,0.0,0.0,257
0,15.0,1.0,0
32,0.0,0.0,2413
0,112594.9609375,0.0,0
0,9.0,1.0,0
30,0.0,0.0,4830
188,0.0,11001.0,241
0,69.0,1.0,0
0,6.0,1.0,0
0,102198.5390625,0.0,0
20,0.0,0.0,3660
0,0.0,7564.25,0
0,3170.0,1.0,0
1347616,617.0,403604.0,0
1,0.0,9.600000381469727,0
0,0.0,0.0,0
1109280,42.0,0.0,0
0,17.0,1.0,0
15,0.0,0.0,7466
1,0.0,7.900000095367432,0
0,1110.0,1.0,0
0,63.0,1.0,0
1,0.0,9.899999618530273,0
2132570,16.0,0.0,0
1,0.0,8.199999809265137,0
1,0.0,8.399999618530273,0
0,22.0,1.0,0
142213,75.0,0.0,0
0,15.0,1.0,0
0,0.0,83517.390625,0
851982,617.0,402401.0,0
0,5.0,1.0,0
0,1.0,0.0,0
81578,41617.03125,26715144192.0,21
530156,66.0,58120.0,0
0,98.0,1.0,0
78508,2655372.25,819813023744.0,21
46,0.0,6200.0,1020
21,0.0,288.0,0
0,94.0,1.0,0
0,9.0,1.0,0
0,1.0,0.0,0
24,0.0,0.0,3266
0,13.0,1.0,0
2,0.0,6.099999904632568,0
0,9.0,1.0,0
106,0.0,0.0,17
38,0.0,0.0,2180
20,0.0,0.0,3687
234,0.0,0.0,0
62,0.0,0.0,116
0,65719.84375,0.0,0
65263,0.0,0.0,21
13,0.0,0.0,6180
115,0.0,4876.68017578125,0
0,28.0,1.0,0
1,0.0,7.300000190734863,0
1,0.0,8.0,0
0,63971.1015625,0.0,0
1026009,42.0,0.0,0
0,29.0,1.0,0
0,94.0,1.0,0
0,27.0,1.0,0
0,42.0,1.0,0
0,15.0,1.0,0
1832294,351.0,0.0,0
0,19.0,1.0,0
0,240.0,1.0,0
48,0.0,0.0,823
0,6.0,1.0,0
0,7.0,1.0,0
968856,207.0,0.0,0
14,0.0,4641.6201171875,0
0,384.0,19761.73046875,0
61646,3065506.5,819813023744.0,21
0,1.0,0.0,0
0,244.0,1.0,0
0,39.0,1.0,0
61200,97561.5234375,818717982720.0,21
384514,51.0,0.0,0
61078,478845.90625,855311974400.0,21
0,14.0,1.0,0
0,1226.0,60676.0,0
60486,11233.9599609375,723496730624.0,21
60350,999445.8125,869368987648.0,21
0,60317.921875,0.0,0
1,0.0,7.599999904632568,0
0,1.0,0.0,0
0,3.0,0.0,0
0,0.0,4398.240234375,0
39,0.0,0.0,2025
1026359,233.0,0.0,0
58233,947665.625,602919796736.0,21
0,2565.0,1.0,0
105,0.0,0.0,399
33,0.0,0.0,2319
59,0.0,0.0,119
0,55984.0,0.0,0
178,0.0,0.0,260
14,0.0,0.0,4508
118,0.0,0.0,349
55769,1101611.75,822843801600.0,21
0,55657.08984375,0.0,0
3,0.0,9.5,0
276,0.0,0.0,0
220,0.0,0.0,128
682079,41.0,0.0,0
54000,0.0,0.0,21
45,0.0,0.0,1415
0,33.0,1.0,0
142,0.0,0.0,155
371024,125.0,0.0,0
0,10.0,1.0,0
0,53295.8984375,0.0,0
0,107.0,1.0,0
227533,130.0,0.0,0
1299290,308.0,403623.0,0
0,364.0,1.0,0
0,187.0,52073.48828125,0
233720,158.0,0.0,0
0,16.0,1.0,0
0,105.0,1.0,0
0,28.0,1.0,0
0,6.0,1.0,0
698516,77.0,0.0,0
1,0.0,8.100000381469727,0
0,70.0,1.0,0
2,0.0,7.599999904632568,0
49599,1040983.5625,57112993792.0,21
1,0.0,8.5,0
0,90.0,1.0,0
0,208.0,49435.87890625,0
1,0.0,9.0,0
0,48987.87109375,0.0,0
48601,1671398.125,810040950784.0,21
0,5.0,1.0,0
48336,662076.625,400011624448.0,21
784205,11.0,0.0,0
0,1932.0,48063.0,0
502193,112.0,0.0,0
0,5.0,1.0,0
38,0.0,0.0,3238
0,17.0,1.0,0
0,9.0,1.0,0
46863,1275947.875,816325001216.0,21
0,85.0,1.0,0
0,65.0,1.0,0
